n,insertion,merge,timsort
100,0.00013197320000131186,0.00017454219999990528,5.603799996833913e-06
500,0.005838141600003155,0.0007925737999983085,2.6930000001357256e-05
1000,0.025752093400001286,0.0013156228000013926,9.025400000268746e-05
2000,0.08063700719999929,0.0027403910000032283,0.00016379780000193024
